Classifier,Augmented,Features,PCA,Classifier_Metrics,Val accuracy,Test accuracy,Meningioma,No tumor,Glioma,Pituitary
svm,False,"('hog',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9188888888888888,0.895,0.8656716417910447,0.918918918918919,0.8536585365853658,0.9454545454545454
svm,False,"('wavelet_3x',)",PCA(n_components=0.99),"SVC(C=10, gamma=0.001)",0.9077777777777778,0.875,0.8484848484848485,0.8767123287671232,0.8275862068965518,0.9444444444444444
svm,False,"('wavelet_2x',)",PCA(n_components=0.99),"SVC(C=10, gamma=0.0001)",0.8766666666666667,0.88,0.874074074074074,0.8450704225352113,0.8409090909090908,0.9433962264150944
svm,False,"('hog', 'wavelet_3x')",PCA(n_components=0.99),"SVC(C=10, gamma=0.0001)",0.9133333333333332,0.88,0.8333333333333333,0.945945945945946,0.8235294117647058,0.9357798165137614
svm,False,"('hog', 'wavelet_2x')",PCA(n_components=0.95),"SVC(C=10, gamma=0.0001)",0.9155555555555556,0.915,0.8923076923076922,0.9210526315789476,0.8735632183908046,0.97196261682243
svm,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=0.9),"SVC(C=10, gamma=0.001)",0.87,0.845,0.7999999999999999,0.7666666666666667,0.8604651162790697,0.9357798165137614
svm,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=0.95),"SVC(C=10, gamma=0.0001)",0.9222222222222224,0.91,0.8854961832061068,0.9090909090909092,0.8837209302325582,0.9622641509433962
random forest,False,"('hog',)",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8755555555555555,0.855,0.8175182481751825,0.8695652173913043,0.8292682926829267,0.9107142857142856
random forest,False,"('wavelet_3x',)",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8466666666666667,0.79,0.7218045112781954,0.7999999999999999,0.7333333333333334,0.9107142857142856
random forest,False,"('wavelet_2x',)",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.85,0.785,0.7230769230769231,0.7941176470588235,0.711111111111111,0.9107142857142856
random forest,False,"('hog', 'wavelet_3x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.9011111111111112,0.86,0.8244274809160305,0.918918918918919,0.8292682926829267,0.8849557522123893
random forest,False,"('hog', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8811111111111111,0.84,0.78125,0.9166666666666669,0.7727272727272727,0.9107142857142856
random forest,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8655555555555555,0.77,0.696969696969697,0.7812500000000001,0.7032967032967034,0.9026548672566372
random forest,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8811111111111111,0.845,0.7999999999999999,0.9014084507042254,0.7906976744186046,0.9026548672566372
