Classifier,Augmented,Features,PCA,Classifier_Metrics,Val accuracy,Test accuracy,Meningioma,No tumor,Glioma,Pituitary
svm,False,"('hog',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9166666666666666,0.905,0.8759124087591241,0.9315068493150684,0.8536585365853658,0.962962962962963
svm,False,"('hog',)",PCA(n_components=0.99),"SVC(C=10, gamma=0.001)",0.92,0.895,0.8529411764705882,0.9166666666666667,0.8674698795180723,0.9541284403669724
svm,False,"('wavelet_3x',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.89,0.865,0.8153846153846154,0.888888888888889,0.8444444444444444,0.9259259259259259
svm,False,"('wavelet_2x',)",PCA(n_components=0.9),"SVC(C=10, gamma=0.001)",0.8788888888888889,0.855,0.8169014084507041,0.7936507936507937,0.8604651162790697,0.9357798165137614
svm,False,"('hog', 'wavelet_3x')",PCA(n_components=0.9),"SVC(C=10, gamma=0.001)",0.9444444444444444,0.91,0.887218045112782,0.9090909090909091,0.891566265060241,0.9532710280373831
svm,False,"('hog', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9233333333333333,0.88,0.8428571428571429,0.8611111111111112,0.8641975308641974,0.9532710280373831
svm,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=0.99),"SVC(C=10, gamma=0.0001)",0.8855555555555555,0.875,0.8656716417910447,0.8450704225352113,0.8314606741573034,0.9433962264150944
svm,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=0.95),"SVC(C=10, gamma=0.0001)",0.9222222222222223,0.91,0.8854961832061068,0.9090909090909091,0.8837209302325582,0.9622641509433962
random forest,False,"('hog',)",PCA(n_components=50),RandomForestClassifier(),0.8811111111111111,0.86,0.8260869565217392,0.8695652173913043,0.8095238095238095,0.9357798165137614
random forest,False,"('wavelet_3x',)",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8477777777777777,0.8,0.7441860465116278,0.8181818181818181,0.7446808510638299,0.9009009009009009
random forest,False,"('wavelet_2x',)",PCA(n_components=50),RandomForestClassifier(),0.84,0.8,0.7441860465116278,0.7647058823529411,0.7692307692307692,0.9107142857142857
random forest,False,"('hog', 'wavelet_3x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8866666666666667,0.86,0.8181818181818182,0.9166666666666667,0.8192771084337349,0.9026548672566372
random forest,False,"('hog', 'wavelet_2x')",PCA(n_components=100),RandomForestClassifier(),0.8777777777777778,0.82,0.7669172932330828,0.8484848484848485,0.7640449438202247,0.9107142857142857
random forest,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8355555555555556,0.8,0.7596899224806202,0.787878787878788,0.7391304347826086,0.9026548672566372
random forest,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8777777777777778,0.815,0.7611940298507464,0.835820895522388,0.7674418604651162,0.9026548672566372
knn,False,"('hog',)",PCA(n_components=0.9),KNeighborsClassifier(n_neighbors=1),0.9222222222222223,0.905,0.9090909090909091,0.8918918918918919,0.8705882352941177,0.9357798165137614
knn,False,"('wavelet_3x',)",PCA(n_components=0.9),KNeighborsClassifier(n_neighbors=1),0.9044444444444445,0.875,0.8387096774193549,0.9066666666666667,0.8172043010752689,0.9444444444444444
knn,False,"('wavelet_2x',)",PCA(n_components=0.9),KNeighborsClassifier(n_neighbors=1),0.9033333333333333,0.865,0.8095238095238094,0.918918918918919,0.8131868131868132,0.9357798165137614
knn,False,"('hog', 'wavelet_3x')",PCA(n_components=100),KNeighborsClassifier(n_neighbors=1),0.9266666666666666,0.885,0.855072463768116,0.9014084507042254,0.8433734939759036,0.9444444444444444
knn,False,"('hog', 'wavelet_2x')",PCA(n_components=100),KNeighborsClassifier(n_neighbors=1),0.9066666666666666,0.865,0.8099173553719008,0.8947368421052632,0.8172043010752689,0.9454545454545454
knn,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=100),KNeighborsClassifier(n_neighbors=1),0.9,0.875,0.819672131147541,0.9210526315789475,0.8387096774193548,0.9357798165137614
knn,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=0.95),KNeighborsClassifier(n_neighbors=1),0.9188888888888889,0.87,0.8095238095238094,0.9315068493150684,0.826086956521739,0.9357798165137614
svm,True,"('hog',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.91,0.905,0.874074074074074,0.9066666666666667,0.9,0.9454545454545454
svm,True,"('wavelet_3x',)",PCA(n_components=0.9),"SVC(C=10, gamma=0.001)",0.8922222222222222,0.86,0.8319999999999999,0.8395061728395061,0.8372093023255814,0.9259259259259259
svm,True,"('wavelet_2x',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9022222222222223,0.895,0.8818897637795277,0.8674698795180723,0.8674698795180723,0.9532710280373831
svm,True,"('hog', 'wavelet_3x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.94,0.905,0.8805970149253731,0.8717948717948718,0.891566265060241,0.9714285714285713
svm,True,"('hog', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9188888888888889,0.91,0.90625,0.880952380952381,0.8888888888888888,0.9532710280373831
svm,True,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.8966666666666666,0.895,0.8818897637795277,0.8674698795180723,0.8674698795180723,0.9532710280373831
